"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-03-30,0,0,0,0
"2",2020-03-31,0,0,0,0
"3",2020-04-01,0,0,0,0
"4",2020-04-02,0,0,0,0
"5",2020-04-03,0,0,0,0
"6",2020-04-04,0,0,0,0
"7",2020-04-05,0,0,0,0
"8",2020-04-06,0,0,0,0
"9",2020-04-07,0,0,0,0
"10",2020-04-08,0,0,0,0
"11",2020-04-09,0,0,0,0
"12",2020-04-10,0,0,0,0
"13",2020-04-11,0,0,0,0
"14",2020-04-12,0,0,0,0
"15",2020-04-13,0,0,0,0
"16",2020-04-14,0,0,0,0
"17",2020-04-15,0,0,0,0
"18",2020-04-16,0,0,0,0
"19",2020-04-17,0,0,0,0
"20",2020-04-18,0,0,0,0
"21",2020-04-19,0,0,0,0
"22",2020-04-20,0,0,0,0
"23",2020-04-21,0,0,0,0
"24",2020-04-22,0,0,0,0
"25",2020-04-23,0,0,0,0
"26",2020-04-24,0,0,0,0
"27",2020-04-25,0,0,0,0
"28",2020-04-26,0,0,0,0
"29",2020-04-27,0,0,0,0
"30",2020-04-28,0,0,0,0
"31",2020-04-29,0,0,0,0
"32",2020-04-30,0,0,0,0
"33",2020-05-01,0,0,0,0
"34",2020-05-02,0,0,0,0
"35",2020-05-03,0,0,0,0
"36",2020-05-04,0,0,0,0
"37",2020-05-05,0,0,0,0
"38",2020-05-06,0,0,0,0
"39",2020-05-07,0,0,0,0
"40",2020-05-08,0,0,0,0
"41",2020-05-09,0,0,0,0
"42",2020-05-10,0,0,0,0
"43",2020-05-11,0,0,0,0
"44",2020-05-12,0,0,0,0
"45",2020-05-13,0,0,0,0
"46",2020-05-14,0,0,0,0
"47",2020-05-15,0,0,0,0
"48",2020-05-16,0,0,0,0
"49",2020-05-17,0,0,0,0
"50",2020-05-18,0,0,0,0
"51",2020-05-19,0,0,0,0
"52",2020-05-20,0,0,0,0
"53",2020-05-21,0,0,0,0
"54",2020-05-22,0,0,0,0
"55",2020-05-23,0,0,0,0
"56",2020-05-24,0,0,0,0
"57",2020-05-25,0,0,0,0
"58",2020-05-26,0,0,0,0
"59",2020-05-27,0,0,0,0
"60",2020-05-28,0,0,0,0
"61",2020-05-29,0,0,0,0
"62",2020-05-30,0,0,0,0
"63",2020-05-31,0,0,0,0
"64",2020-06-01,0,0,0,0
"65",2020-06-02,0,0,0,0
"66",2020-06-03,0,0,0,0
"67",2020-06-04,0,0,0,0
"68",2020-06-05,0,0,0,0
"69",2020-06-06,0,0,0,0
"70",2020-06-07,0,0,0,0
"71",2020-06-08,0,0,0,0
"72",2020-06-09,0,0,0,0
"73",2020-06-10,0,0,0,0
"74",2020-06-11,0,0,0,0
"75",2020-06-12,0,0,0,0
"76",2020-06-13,0,0,0,0
"77",2020-06-14,0,0,0,0
"78",2020-06-15,25,16,7,2
"79",2020-06-16,27,18,7,2
"80",2020-06-17,27,18,7,2
"81",2020-06-18,29,20,7,2
"82",2020-06-19,29,20,7,2
"83",2020-06-20,29,20,7,2
"84",2020-06-21,54,43,7,4
"85",2020-06-22,54,43,7,4
"86",2020-06-23,57,46,7,4
"87",2020-06-24,57,46,7,4
"88",2020-06-25,57,45,8,4
"89",2020-06-26,57,44,9,4
"90",2020-06-27,75,62,9,4
"91",2020-06-28,75,62,9,4
"92",2020-06-29,76,63,9,4
"93",2020-06-30,76,63,9,4
"94",2020-07-01,92,57,31,4
"95",2020-07-02,109,74,31,4
"96",2020-07-03,109,74,31,4
"97",2020-07-04,109,74,31,4
"98",2020-07-05,117,72,40,5
"99",2020-07-06,118,72,41,5
"100",2020-07-07,118,65,48,5
"101",2020-07-08,151,98,48,5
"102",2020-07-09,151,98,48,5
"103",2020-07-10,152,99,48,5
"104",2020-07-11,152,99,48,5
"105",2020-07-12,152,99,48,5
"106",2020-07-13,152,99,48,5
"107",2020-07-14,187,113,68,6
"108",2020-07-15,188,114,68,6
"109",2020-07-16,188,114,68,6
"110",2020-07-17,188,114,68,6
"111",2020-07-18,193,119,68,6
"112",2020-07-19,195,121,68,6
"113",2020-07-20,195,121,68,6
"114",2020-07-21,195,71,118,6
"115",2020-07-22,195,53,136,6
"116",2020-07-23,207,44,157,6
"117",2020-07-24,207,27,174,6
"118",2020-07-25,207,23,178,6
"119",2020-07-26,213,26,181,6
"120",2020-07-27,213,22,185,6
"121",2020-07-28,NA,NA,NA,NA
"122",2020-07-29,228,31,190,7
"123",2020-07-30,228,25,196,7
"124",2020-07-31,228,25,196,7
"125",2020-08-01,228,25,196,7
"126",2020-08-02,228,25,196,7
"127",2020-08-03,240,30,203,7
"128",2020-08-04,240,27,206,7
"129",2020-08-05,240,22,211,7
"130",2020-08-06,240,19,214,7
"131",2020-08-07,240,16,217,7
"132",2020-08-08,240,16,217,7
"133",2020-08-09,240,16,217,7
"134",2020-08-10,240,13,220,7
"135",2020-08-11,240,13,220,7
"136",2020-08-12,240,8,225,7
"137",2020-08-13,240,5,228,7
"138",2020-08-14,242,7,228,7
"139",2020-08-15,242,7,228,7
"140",2020-08-16,242,5,230,7
"141",2020-08-17,242,4,231,7
"142",2020-08-18,242,4,231,7
"143",2020-08-19,242,4,231,7
"144",2020-08-20,242,4,231,7
"145",2020-08-21,242,4,231,7
"146",2020-08-22,275,37,231,7
"147",2020-08-23,285,47,231,7
"148",2020-08-24,287,47,233,7
"149",2020-08-25,286,43,236,7
"150",2020-08-26,286,38,241,7
"151",2020-08-27,286,34,245,7
"152",2020-08-28,286,28,251,7
"153",2020-08-29,286,24,255,7
"154",2020-08-30,286,9,270,7
"155",2020-08-31,286,7,272,7
"156",2020-09-01,286,4,275,7
"157",2020-09-02,286,3,276,7
"158",2020-09-03,287,1,279,7
"159",2020-09-04,287,0,280,7
"160",2020-09-05,287,0,280,7
"161",2020-09-06,287,0,280,7
"162",2020-09-07,287,0,280,7
"163",2020-09-08,289,2,280,7
