"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-03-30,0,0,0,0
"2",2020-03-31,0,0,0,0
"3",2020-04-01,0,0,0,0
"4",2020-04-02,0,0,0,0
"5",2020-04-03,0,0,0,0
"6",2020-04-04,0,0,0,0
"7",2020-04-05,0,0,0,0
"8",2020-04-06,0,0,0,0
"9",2020-04-07,0,0,0,0
"10",2020-04-08,0,0,0,0
"11",2020-04-09,0,0,0,0
"12",2020-04-10,0,0,0,0
"13",2020-04-11,0,0,0,0
"14",2020-04-12,0,0,0,0
"15",2020-04-13,0,0,0,0
"16",2020-04-14,0,0,0,0
"17",2020-04-15,0,0,0,0
"18",2020-04-16,0,0,0,0
"19",2020-04-17,0,0,0,0
"20",2020-04-18,0,0,0,0
"21",2020-04-19,0,0,0,0
"22",2020-04-20,0,0,0,0
"23",2020-04-21,0,0,0,0
"24",2020-04-22,0,0,0,0
"25",2020-04-23,0,0,0,0
"26",2020-04-24,0,0,0,0
"27",2020-04-25,0,0,0,0
"28",2020-04-26,0,0,0,0
"29",2020-04-27,0,0,0,0
"30",2020-04-28,0,0,0,0
"31",2020-04-29,0,0,0,0
"32",2020-04-30,0,0,0,0
"33",2020-05-01,0,0,0,0
"34",2020-05-02,0,0,0,0
"35",2020-05-03,0,0,0,0
"36",2020-05-04,0,0,0,0
"37",2020-05-05,0,0,0,0
"38",2020-05-06,0,0,0,0
"39",2020-05-07,0,0,0,0
"40",2020-05-08,0,0,0,0
"41",2020-05-09,0,0,0,0
"42",2020-05-10,0,0,0,0
"43",2020-05-11,0,0,0,0
"44",2020-05-12,0,0,0,0
"45",2020-05-13,0,0,0,0
"46",2020-05-14,0,0,0,0
"47",2020-05-15,0,0,0,0
"48",2020-05-16,0,0,0,0
"49",2020-05-17,0,0,0,0
"50",2020-05-18,0,0,0,0
"51",2020-05-19,0,0,0,0
"52",2020-05-20,0,0,0,0
"53",2020-05-21,0,0,0,0
"54",2020-05-22,0,0,0,0
"55",2020-05-23,0,0,0,0
"56",2020-05-24,0,0,0,0
"57",2020-05-25,0,0,0,0
"58",2020-05-26,0,0,0,0
"59",2020-05-27,0,0,0,0
"60",2020-05-28,0,0,0,0
"61",2020-05-29,0,0,0,0
"62",2020-05-30,0,0,0,0
"63",2020-05-31,0,0,0,0
"64",2020-06-01,0,0,0,0
"65",2020-06-02,0,0,0,0
"66",2020-06-03,0,0,0,0
"67",2020-06-04,0,0,0,0
"68",2020-06-05,0,0,0,0
"69",2020-06-06,0,0,0,0
"70",2020-06-07,0,0,0,0
"71",2020-06-08,0,0,0,0
"72",2020-06-09,0,0,0,0
"73",2020-06-10,0,0,0,0
"74",2020-06-11,0,0,0,0
"75",2020-06-12,0,0,0,0
"76",2020-06-13,0,0,0,0
"77",2020-06-14,0,0,0,0
"78",2020-06-15,183,153,19,11
"79",2020-06-16,226,192,23,11
"80",2020-06-17,231,194,23,14
"81",2020-06-18,257,219,24,14
"82",2020-06-19,261,223,24,14
"83",2020-06-20,NA,NA,NA,NA
"84",2020-06-21,275,220,41,14
"85",2020-06-22,275,220,41,14
"86",2020-06-23,276,219,43,14
"87",2020-06-24,305,241,48,16
"88",2020-06-25,327,258,53,16
"89",2020-06-26,327,258,53,16
"90",2020-06-27,NA,NA,NA,NA
"91",2020-06-28,328,247,64,17
"92",2020-06-29,332,244,70,18
"93",2020-06-30,334,246,70,18
"94",2020-07-01,336,245,72,19
"95",2020-07-02,342,249,73,20
"96",2020-07-03,361,265,76,20
"97",2020-07-04,NA,NA,NA,NA
"98",2020-07-05,368,269,79,20
"99",2020-07-06,NA,NA,NA,NA
"100",2020-07-07,377,258,99,20
"101",2020-07-08,382,260,102,20
"102",2020-07-09,395,270,105,20
"103",2020-07-10,395,270,105,20
"104",2020-07-11,403,264,118,21
"105",2020-07-12,406,251,133,22
"106",2020-07-13,406,251,133,22
"107",2020-07-14,430,266,142,22
"108",2020-07-15,440,274,144,22
"109",2020-07-16,455,259,174,22
"110",2020-07-17,458,262,174,22
"111",2020-07-18,476,264,189,23
"112",2020-07-19,479,266,189,24
"113",2020-07-20,482,267,190,25
"114",2020-07-21,482,267,190,25
"115",2020-07-22,482,267,190,25
"116",2020-07-23,482,267,190,25
"117",2020-07-24,542,283,228,31
"118",2020-07-25,NA,NA,NA,NA
"119",2020-07-26,NA,NA,NA,NA
"120",2020-07-27,559,270,257,32
"121",2020-07-28,NA,NA,NA,NA
"122",2020-07-29,572,269,269,34
"123",2020-07-30,572,269,269,34
"124",2020-07-31,572,269,269,34
"125",2020-08-01,572,269,269,34
"126",2020-08-02,572,269,269,34
"127",2020-08-03,572,269,269,34
"128",2020-08-04,572,269,269,34
"129",2020-08-05,572,269,269,34
"130",2020-08-06,572,269,269,34
"131",2020-08-07,572,269,269,34
"132",2020-08-08,572,269,269,34
"133",2020-08-09,572,269,269,34
"134",2020-08-10,572,269,269,34
"135",2020-08-11,572,269,269,34
"136",2020-08-12,NA,NA,NA,NA
"137",2020-08-13,572,269,269,34
"138",2020-08-14,NA,NA,NA,NA
"139",2020-08-15,NA,NA,NA,NA
"140",2020-08-16,NA,NA,NA,NA
"141",2020-08-17,NA,NA,NA,NA
"142",2020-08-18,572,269,269,34
"143",2020-08-19,NA,NA,NA,NA
"144",2020-08-20,NA,NA,NA,NA
"145",2020-08-21,NA,NA,NA,NA
"146",2020-08-22,NA,NA,NA,NA
"147",2020-08-23,NA,NA,NA,NA
"148",2020-08-24,NA,NA,NA,NA
"149",2020-08-25,NA,NA,NA,NA
"150",2020-08-26,NA,NA,NA,NA
"151",2020-08-27,NA,NA,NA,NA
"152",2020-08-28,NA,NA,NA,NA
"153",2020-08-29,NA,NA,NA,NA
"154",2020-08-30,NA,NA,NA,NA
"155",2020-08-31,NA,NA,NA,NA
"156",2020-09-01,NA,NA,NA,NA
"157",2020-09-02,743,106,591,46
